Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;DK1 Natural Gas Power Production MWh/h H Actual
2025-07-29 18:00;+02:00;83.25
2025-07-29 19:00;+02:00;117.75
2025-07-29 20:00;+02:00;137.5
2025-07-29 21:00;+02:00;142.25
2025-07-29 22:00;+02:00;139.5
2025-07-29 23:00;+02:00;111
2025-07-30 00:00;+02:00;129.5
2025-07-30 01:00;+02:00;110.5
2025-07-30 02:00;+02:00;69
2025-07-30 03:00;+02:00;53
2025-07-30 04:00;+02:00;53
2025-07-30 05:00;+02:00;53.25
2025-07-30 06:00;+02:00;59.75
2025-07-30 07:00;+02:00;62.5
2025-07-30 08:00;+02:00;64.5
2025-07-30 09:00;+02:00;91.25
2025-07-30 10:00;+02:00;101.75
2025-07-30 11:00;+02:00;111.25
2025-07-30 12:00;+02:00;117
2025-07-30 13:00;+02:00;120.5
2025-07-30 14:00;+02:00;121
2025-07-30 15:00;+02:00;103
2025-07-30 16:00;+02:00;77.25
2025-07-30 17:00;+02:00;97.25
